adresse,Building_Number,repetition,type_voie,Street_Name,Zip_Code,City,Country,Recipient,prompt
dupont 41 route du général leclerc 75001 strasbourg france,41,,route,du Général Leclerc,75001,Strasbourg,France,Dupont,"Parsing: dupont 41 route du général leclerc 75001 strasbourg france
Champs: {""Building_Number"": 41, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""route""}"
des Lilas France rue Lyon 38 M. Durant ter 13008,38,ter,rue,des Lilas,13008,Lyon,France,M. Durant,"Parsing: des Lilas France rue Lyon 38 M. Durant ter 13008
Champs: {""Building_Number"": 38, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""rue""}"
marseille 68 des lilas dupont france a route 69003,68,A,route,des Lilas,69003,Marseille,France,Dupont,"Parsing: marseille 68 des lilas dupont france a route 69003
Champs: {""Building_Number"": 68, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 69003, ""repetition"": ""A"", ""type_voie"": ""route""}"
mme martin 28 bis rue du général leclerc 75001 nantes france,28,bis,rue,du Général Leclerc,75001,Nantes,France,Mme Martin,"Parsing: mme martin 28 bis rue du général leclerc 75001 nantes france
Champs: {""Building_Number"": 28, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
dupont 138 b route des lilas 67000 toulouse france,138,B,route,des Lilas,67000,Toulouse,France,Dupont,"Parsing: dupont 138 b route des lilas 67000 toulouse france
Champs: {""Building_Number"": 138, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 67000, ""repetition"": ""B"", ""type_voie"": ""route""}"
13008 avenue lyon jean jaurès 1 bis france,1,bis,avenue,Jean Jaurès,13008,Lyon,France,,"Parsing: 13008 avenue lyon jean jaurès 1 bis france
Champs: {""Building_Number"": 1, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 13008, ""repetition"": ""bis"", ""type_voie"": ""avenue""}"
m. durant 116 bis route des lilas 92100 marseille france,116,bis,route,des Lilas,92100,Marseille,France,M. Durant,"Parsing: m. durant 116 bis route des lilas 92100 marseille france
Champs: {""Building_Number"": 116, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""route""}"
Mme Martin 61 B route Jean Jaurès 33000 Bordeaux France,61,B,route,Jean Jaurès,33000,Bordeaux,France,Mme Martin,"Parsing: Mme Martin 61 B route Jean Jaurès 33000 Bordeaux France
Champs: {""Building_Number"": 61, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 33000, ""repetition"": ""B"", ""type_voie"": ""route""}"
dupont route france jean jaurès 16 marseille b 92100,16,B,route,Jean Jaurès,92100,Marseille,France,Dupont,"Parsing: dupont route france jean jaurès 16 marseille b 92100
Champs: {""Building_Number"": 16, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 92100, ""repetition"": ""B"", ""type_voie"": ""route""}"
avenue france mme martin ter 30 44000 victor hugo lyon,30,ter,avenue,Victor Hugo,44000,Lyon,France,Mme Martin,"Parsing: avenue france mme martin ter 30 44000 victor hugo lyon
Champs: {""Building_Number"": 30, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 44000, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
rue m. durant france nice du général leclerc bis 92100 37,37,bis,rue,du Général Leclerc,92100,Nice,France,M. Durant,"Parsing: rue m. durant france nice du général leclerc bis 92100 37
Champs: {""Building_Number"": 37, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 92100, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
m. durant 62 ter chemin des lilas 13008 marseille france,62,ter,chemin,des Lilas,13008,Marseille,France,M. Durant,"Parsing: m. durant 62 ter chemin des lilas 13008 marseille france
Champs: {""Building_Number"": 62, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 13008, ""repetition"": ""ter"", ""type_voie"": ""chemin""}"
france de la république 44000 3 route bis société leroy bordeaux,3,bis,route,de la République,44000,Bordeaux,France,Société Leroy,"Parsing: france de la république 44000 3 route bis société leroy bordeaux
Champs: {""Building_Number"": 3, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 44000, ""repetition"": ""bis"", ""type_voie"": ""route""}"
M. Durant 70 A rue de la République 67000 Marseille France,70,A,rue,de la République,67000,Marseille,France,M. Durant,"Parsing: M. Durant 70 A rue de la République 67000 Marseille France
Champs: {""Building_Number"": 70, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""de la République"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""rue""}"
110 bis chemin du général leclerc 6000 strasbourg france,110,bis,chemin,du Général Leclerc,6000,Strasbourg,France,,"Parsing: 110 bis chemin du général leclerc 6000 strasbourg france
Champs: {""Building_Number"": 110, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 6000, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
Dupont 109 bis boulevard des Lilas 33000 Toulouse France,109,bis,boulevard,des Lilas,33000,Toulouse,France,Dupont,"Parsing: Dupont 109 bis boulevard des Lilas 33000 Toulouse France
Champs: {""Building_Number"": 109, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""boulevard""}"
de la république mme martin route boulogne-billancourt 44000 81 france b,81,B,route,de la République,44000,Boulogne-Billancourt,France,Mme Martin,"Parsing: de la république mme martin route boulogne-billancourt 44000 81 france b
Champs: {""Building_Number"": 81, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 44000, ""repetition"": ""B"", ""type_voie"": ""route""}"
bis victor hugo bordeaux france mme martin 7 33000 chemin,7,bis,chemin,Victor Hugo,33000,Bordeaux,France,Mme Martin,"Parsing: bis victor hugo bordeaux france mme martin 7 33000 chemin
Champs: {""Building_Number"": 7, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
Victor Hugo 31000 A 121 Marseille chemin M. Durant France,121,A,chemin,Victor Hugo,31000,Marseille,France,M. Durant,"Parsing: Victor Hugo 31000 A 121 Marseille chemin M. Durant France
Champs: {""Building_Number"": 121, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 31000, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
Dupont 194 bis boulevard de la République 44000 Nice France,194,bis,boulevard,de la République,44000,Nice,France,Dupont,"Parsing: Dupont 194 bis boulevard de la République 44000 Nice France
Champs: {""Building_Number"": 194, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de la République"", ""Zip_Code"": 44000, ""repetition"": ""bis"", ""type_voie"": ""boulevard""}"
mme martin 81 a rue jean jaurès 67000 nice france,81,A,rue,Jean Jaurès,67000,Nice,France,Mme Martin,"Parsing: mme martin 81 a rue jean jaurès 67000 nice france
Champs: {""Building_Number"": 81, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""A"", ""type_voie"": ""rue""}"
Dupont 106 ter avenue de Verdun 69003 Nantes France,106,ter,avenue,de Verdun,69003,Nantes,France,Dupont,"Parsing: Dupont 106 ter avenue de Verdun 69003 Nantes France
Champs: {""Building_Number"": 106, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
bis 13 Paris France Victor Hugo rue 31000,13,bis,rue,Victor Hugo,31000,Paris,France,,"Parsing: bis 13 Paris France Victor Hugo rue 31000
Champs: {""Building_Number"": 13, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 31000, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
Mme Martin 146 A rue Jean Jaurès 69003 Bordeaux France,146,A,rue,Jean Jaurès,69003,Bordeaux,France,Mme Martin,"Parsing: Mme Martin 146 A rue Jean Jaurès 69003 Bordeaux France
Champs: {""Building_Number"": 146, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 69003, ""repetition"": ""A"", ""type_voie"": ""rue""}"
158 avenue des Lilas 67000 Marseille France,158,,avenue,des Lilas,67000,Marseille,France,,"Parsing: 158 avenue des Lilas 67000 Marseille France
Champs: {""Building_Number"": 158, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""des Lilas"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""avenue""}"
13008 77 a impasse france dupont de verdun boulogne-billancourt,77,A,impasse,de Verdun,13008,Boulogne-Billancourt,France,Dupont,"Parsing: 13008 77 a impasse france dupont de verdun boulogne-billancourt
Champs: {""Building_Number"": 77, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 13008, ""repetition"": ""A"", ""type_voie"": ""impasse""}"
m. durant 26 ter impasse jean jaurès 33000 boulogne-billancourt france,26,ter,impasse,Jean Jaurès,33000,Boulogne-Billancourt,France,M. Durant,"Parsing: m. durant 26 ter impasse jean jaurès 33000 boulogne-billancourt france
Champs: {""Building_Number"": 26, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""M. Durant"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 33000, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
Société Leroy 43 bis chemin de Verdun 69003 Bordeaux France,43,bis,chemin,de Verdun,69003,Bordeaux,France,Société Leroy,"Parsing: Société Leroy 43 bis chemin de Verdun 69003 Bordeaux France
Champs: {""Building_Number"": 43, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de Verdun"", ""Zip_Code"": 69003, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
mme martin 186 avenue de la république 67000 marseille france,186,,avenue,de la République,67000,Marseille,France,Mme Martin,"Parsing: mme martin 186 avenue de la république 67000 marseille france
Champs: {""Building_Number"": 186, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 67000, ""repetition"": null, ""type_voie"": ""avenue""}"
Société Leroy 54 ter impasse de la République 33000 Lyon France,54,ter,impasse,de la République,33000,Lyon,France,Société Leroy,"Parsing: Société Leroy 54 ter impasse de la République 33000 Lyon France
Champs: {""Building_Number"": 54, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 33000, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
mme martin 131 ter impasse de la république 31000 nice france,131,ter,impasse,de la République,31000,Nice,France,Mme Martin,"Parsing: mme martin 131 ter impasse de la république 31000 nice france
Champs: {""Building_Number"": 131, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 31000, ""repetition"": ""ter"", ""type_voie"": ""impasse""}"
Société Leroy 187 A chemin Jean Jaurès 33000 Nantes France,187,A,chemin,Jean Jaurès,33000,Nantes,France,Société Leroy,"Parsing: Société Leroy 187 A chemin Jean Jaurès 33000 Nantes France
Champs: {""Building_Number"": 187, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 33000, ""repetition"": ""A"", ""type_voie"": ""chemin""}"
dupont 17 ter route de la république 92100 marseille france,17,ter,route,de la République,92100,Marseille,France,Dupont,"Parsing: dupont 17 ter route de la république 92100 marseille france
Champs: {""Building_Number"": 17, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""de la République"", ""Zip_Code"": 92100, ""repetition"": ""ter"", ""type_voie"": ""route""}"
bis du général leclerc 33000 société leroy chemin nice france 71,71,bis,chemin,du Général Leclerc,33000,Nice,France,Société Leroy,"Parsing: bis du général leclerc 33000 société leroy chemin nice france 71
Champs: {""Building_Number"": 71, ""City"": ""Nice"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""du Général Leclerc"", ""Zip_Code"": 33000, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
123 bis chemin Jean Jaurès 31000 Strasbourg France,123,bis,chemin,Jean Jaurès,31000,Strasbourg,France,,"Parsing: 123 bis chemin Jean Jaurès 31000 Strasbourg France
Champs: {""Building_Number"": 123, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 31000, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
mme martin nantes france victor hugo 33 13008 impasse,33,,impasse,Victor Hugo,13008,Nantes,France,Mme Martin,"Parsing: mme martin nantes france victor hugo 33 13008 impasse
Champs: {""Building_Number"": 33, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 13008, ""repetition"": null, ""type_voie"": ""impasse""}"
dupont 148 ter chemin victor hugo 75001 marseille france,148,ter,chemin,Victor Hugo,75001,Marseille,France,Dupont,"Parsing: dupont 148 ter chemin victor hugo 75001 marseille france
Champs: {""Building_Number"": 148, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": ""Dupont"", ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""ter"", ""type_voie"": ""chemin""}"
société leroy 139 bis route de la république 6000 paris france,139,bis,route,de la République,6000,Paris,France,Société Leroy,"Parsing: société leroy 139 bis route de la république 6000 paris france
Champs: {""Building_Number"": 139, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""de la République"", ""Zip_Code"": 6000, ""repetition"": ""bis"", ""type_voie"": ""route""}"
Boulogne-Billancourt 75001 bis France Société Leroy des Lilas chemin 28,28,bis,chemin,des Lilas,75001,Boulogne-Billancourt,France,Société Leroy,"Parsing: Boulogne-Billancourt 75001 bis France Société Leroy des Lilas chemin 28
Champs: {""Building_Number"": 28, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""chemin""}"
1 bis impasse Jean Jaurès 13008 Lyon France,1,bis,impasse,Jean Jaurès,13008,Lyon,France,,"Parsing: 1 bis impasse Jean Jaurès 13008 Lyon France
Champs: {""Building_Number"": 1, ""City"": ""Lyon"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 13008, ""repetition"": ""bis"", ""type_voie"": ""impasse""}"
route de la République B France Strasbourg 44000 81,81,B,route,de la République,44000,Strasbourg,France,,"Parsing: route de la République B France Strasbourg 44000 81
Champs: {""Building_Number"": 81, ""City"": ""Strasbourg"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""de la République"", ""Zip_Code"": 44000, ""repetition"": ""B"", ""type_voie"": ""route""}"
Société Leroy 154 ter avenue Jean Jaurès 67000 Paris France,154,ter,avenue,Jean Jaurès,67000,Paris,France,Société Leroy,"Parsing: Société Leroy 154 ter avenue Jean Jaurès 67000 Paris France
Champs: {""Building_Number"": 154, ""City"": ""Paris"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 67000, ""repetition"": ""ter"", ""type_voie"": ""avenue""}"
de la République 147 B Mme Martin 13008 France Toulouse rue,147,B,rue,de la République,13008,Toulouse,France,Mme Martin,"Parsing: de la République 147 B Mme Martin 13008 France Toulouse rue
Champs: {""Building_Number"": 147, ""City"": ""Toulouse"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""de la République"", ""Zip_Code"": 13008, ""repetition"": ""B"", ""type_voie"": ""rue""}"
102 A route Victor Hugo 75001 Marseille France,102,A,route,Victor Hugo,75001,Marseille,France,,"Parsing: 102 A route Victor Hugo 75001 Marseille France
Champs: {""Building_Number"": 102, ""City"": ""Marseille"", ""Country"": ""France"", ""Recipient"": null, ""Street_Name"": ""Victor Hugo"", ""Zip_Code"": 75001, ""repetition"": ""A"", ""type_voie"": ""route""}"
Société Leroy 197 bis rue des Lilas 75001 Nantes France,197,bis,rue,des Lilas,75001,Nantes,France,Société Leroy,"Parsing: Société Leroy 197 bis rue des Lilas 75001 Nantes France
Champs: {""Building_Number"": 197, ""City"": ""Nantes"", ""Country"": ""France"", ""Recipient"": ""Société Leroy"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 75001, ""repetition"": ""bis"", ""type_voie"": ""rue""}"
Mme Martin 189 avenue Jean Jaurès 75001 Bordeaux France,189,,avenue,Jean Jaurès,75001,Bordeaux,France,Mme Martin,"Parsing: Mme Martin 189 avenue Jean Jaurès 75001 Bordeaux France
Champs: {""Building_Number"": 189, ""City"": ""Bordeaux"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""Jean Jaurès"", ""Zip_Code"": 75001, ""repetition"": null, ""type_voie"": ""avenue""}"
Mme Martin 40 route des Lilas 44000 Boulogne-Billancourt France,40,,route,des Lilas,44000,Boulogne-Billancourt,France,Mme Martin,"Parsing: Mme Martin 40 route des Lilas 44000 Boulogne-Billancourt France
Champs: {""Building_Number"": 40, ""City"": ""Boulogne-Billancourt"", ""Country"": ""France"", ""Recipient"": ""Mme Martin"", ""Street_Name"": ""des Lilas"", ""Zip_Code"": 44000, ""repetition"": null, ""type_voie"": ""route""}"
