Address,Building_Number,City,Recipient,Street_Name_old,Street_Name,type_voie,Zip_Code,Country,repetition
"Laurent Bernard, 80 Rue de la Paix, 35000 Rennes, France",80,Rennes,Laurent Bernard,Rue de la Paix,de la Paix,Rue,35000,France,
"Nathalie Dubois, 22 Rue du Faubourg Saint-Antoine, 69002 Lyon, France",22,Lyon,Nathalie Dubois,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,69002,France,
"Jean Dupont, 182 Boulevard Saint-Michel, 13006 Marseille, France",182,Marseille,Jean Dupont,Boulevard Saint-Michel,Saint-Michel,Boulevard,13006,France,
"Jean Dupont, 83 Rue de Rivoli, 31000 Toulouse, France",83,Toulouse,Jean Dupont,Rue de Rivoli,de Rivoli,Rue,31000,France,
"116 Rue du Faubourg Saint-Antoine, 75001 Paris, France",116,Paris,,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,75001,France,
"Nathalie Dubois, 136 Rue du Faubourg Saint-Antoine, 44000 Nantes, France",136,Nantes,Nathalie Dubois,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,44000,France,
"243 Rue de la Paix, 44000 Nantes, France",243,Nantes,,Rue de la Paix,de la Paix,Rue,44000,France,
"Pierre Lefevre, 130 Avenue des Champs-Élysées, 35000 Rennes, France",130,Rennes,Pierre Lefevre,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,35000,France,
"Nathalie Dubois, 72 Rue de Rivoli, 44000 Nantes, France",72,Nantes,Nathalie Dubois,Rue de Rivoli,de Rivoli,Rue,44000,France,
"Jean Dupont, 90 Boulevard Haussmann, 69002 Lyon, France",90,Lyon,Jean Dupont,Boulevard Haussmann,Haussmann,Boulevard,69002,France,
"22 Avenue Victor Hugo, 44000 Nantes, France",22,Nantes,,Avenue Victor Hugo,Victor Hugo,Avenue,44000,France,
"228 Boulevard Haussmann, 35000 Rennes, France",228,Rennes,,Boulevard Haussmann,Haussmann,Boulevard,35000,France,
"Tech Innov, 192 Avenue Montaigne, 06000 Nice, France",192,Nice,Tech Innov,Avenue Montaigne,Montaigne,Avenue,06000,France,
"Pierre Lefevre, 84 Avenue des Champs-Élysées, 35000 Rennes, France",84,Rennes,Pierre Lefevre,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,35000,France,
"Jean Dupont, 124 Avenue Victor Hugo, 59000 Lille, France",124,Lille,Jean Dupont,Avenue Victor Hugo,Victor Hugo,Avenue,59000,France,
"Boulangerie Paul, 151 Rue du Faubourg Saint-Antoine, 33000 Bordeaux, France",151,Bordeaux,Boulangerie Paul,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,33000,France,
"Laurent Bernard, 178 Boulevard Haussmann, 06000 Nice, France",178,Nice,Laurent Bernard,Boulevard Haussmann,Haussmann,Boulevard,06000,France,
"Jean Dupont, 158 Rue de la Paix, 59000 Lille, France",158,Lille,Jean Dupont,Rue de la Paix,de la Paix,Rue,59000,France,
"Garage Renault, 114 Avenue des Champs-Élysées, 67000 Strasbourg, France",114,Strasbourg,Garage Renault,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,67000,France,
"Boulangerie Paul, 139 Avenue Montaigne, 06000 Nice, France",139,Nice,Boulangerie Paul,Avenue Montaigne,Montaigne,Avenue,06000,France,
"Jean Dupont, 43 Avenue Victor Hugo, 13006 Marseille, France",43,Marseille,Jean Dupont,Avenue Victor Hugo,Victor Hugo,Avenue,13006,France,
"Jean Dupont, 218 Avenue Montaigne, 31000 Toulouse, France",218,Toulouse,Jean Dupont,Avenue Montaigne,Montaigne,Avenue,31000,France,
"Laurent Bernard, 55 Boulevard Haussmann, 33000 Bordeaux, France",55,Bordeaux,Laurent Bernard,Boulevard Haussmann,Haussmann,Boulevard,33000,France,
"Garage Renault, 227 Avenue Montaigne, 75001 Paris, France",227,Paris,Garage Renault,Avenue Montaigne,Montaigne,Avenue,75001,France,
"66 Avenue Victor Hugo, 69002 Lyon, France",66,Lyon,,Avenue Victor Hugo,Victor Hugo,Avenue,69002,France,
"Supermarché Carrefour, 138 Rue de la Paix, 75001 Paris, France",138,Paris,Supermarché Carrefour,Rue de la Paix,de la Paix,Rue,75001,France,
"Pierre Lefevre, 174 Avenue des Champs-Élysées, 44000 Nantes, France",174,Nantes,Pierre Lefevre,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,44000,France,
"Supermarché Carrefour, 116 Place de la République, 33000 Bordeaux, France",116,Bordeaux,Supermarché Carrefour,Place de la République,de la République,Place,33000,France,
"72 Boulevard Haussmann, 06000 Nice, France",72,Nice,,Boulevard Haussmann,Haussmann,Boulevard,06000,France,
"233 Place de la République, 69002 Lyon, France",233,Lyon,,Place de la République,de la République,Place,69002,France,
"33 Place de la République, 35000 Rennes, France",33,Rennes,,Place de la République,de la République,Place,35000,France,
"52 Boulevard Saint-Michel, 69002 Lyon, France",52,Lyon,,Boulevard Saint-Michel,Saint-Michel,Boulevard,69002,France,
"Laurent Bernard, 163 Avenue des Champs-Élysées, 69002 Lyon, France",163,Lyon,Laurent Bernard,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,69002,France,
"Pierre Lefevre, 70 Rue Saint-Honoré, 69002 Lyon, France",70,Lyon,Pierre Lefevre,Rue Saint-Honoré,Saint-Honoré,Rue,69002,France,
"Laurent Bernard, 40 Rue de Rivoli, 35000 Rennes, France",40,Rennes,Laurent Bernard,Rue de Rivoli,de Rivoli,Rue,35000,France,
"145 Boulevard Saint-Michel, 35000 Rennes, France",145,Rennes,,Boulevard Saint-Michel,Saint-Michel,Boulevard,35000,France,
"Jean Dupont, 102 Rue de la Paix, 69002 Lyon, France",102,Lyon,Jean Dupont,Rue de la Paix,de la Paix,Rue,69002,France,
"Supermarché Carrefour, 233 Rue de la Paix, 59000 Lille, France",233,Lille,Supermarché Carrefour,Rue de la Paix,de la Paix,Rue,59000,France,
"Laurent Bernard, 1 Rue de Rivoli, 59000 Lille, France",1,Lille,Laurent Bernard,Rue de Rivoli,de Rivoli,Rue,59000,France,
"176 Avenue Montaigne, 13006 Marseille, France",176,Marseille,,Avenue Montaigne,Montaigne,Avenue,13006,France,
"Sophie Martin, 141 Place de la République, 31000 Toulouse, France",141,Toulouse,Sophie Martin,Place de la République,de la République,Place,31000,France,
"73 Rue de Rivoli, 75001 Paris, France",73,Paris,,Rue de Rivoli,de Rivoli,Rue,75001,France,
"Pierre Lefevre, 23 Avenue Victor Hugo, 44000 Nantes, France",23,Nantes,Pierre Lefevre,Avenue Victor Hugo,Victor Hugo,Avenue,44000,France,
"Garage Renault, 248 Rue du Faubourg Saint-Antoine, 59000 Lille, France",248,Lille,Garage Renault,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,59000,France,
"250 Rue de la Paix, 31000 Toulouse, France",250,Toulouse,,Rue de la Paix,de la Paix,Rue,31000,France,
"40 Rue du Faubourg Saint-Antoine, 67000 Strasbourg, France",40,Strasbourg,,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,67000,France,
"Pierre Lefevre, 21 Boulevard Saint-Michel, 59000 Lille, France",21,Lille,Pierre Lefevre,Boulevard Saint-Michel,Saint-Michel,Boulevard,59000,France,
"155 Rue de Rivoli, 13006 Marseille, France",155,Marseille,,Rue de Rivoli,de Rivoli,Rue,13006,France,
"Tech Innov, 110 Boulevard Saint-Michel, 44000 Nantes, France",110,Nantes,Tech Innov,Boulevard Saint-Michel,Saint-Michel,Boulevard,44000,France,
"Pharmacie Centrale, 151 Rue Saint-Honoré, 33000 Bordeaux, France",151,Bordeaux,Pharmacie Centrale,Rue Saint-Honoré,Saint-Honoré,Rue,33000,France,
"73 Rue de la Paix, 67000 Strasbourg, France",73,Strasbourg,,Rue de la Paix,de la Paix,Rue,67000,France,
"Nathalie Dubois, 138 Rue de Rivoli, 69002 Lyon, France",138,Lyon,Nathalie Dubois,Rue de Rivoli,de Rivoli,Rue,69002,France,
"27 Boulevard Haussmann, 69002 Lyon, France",27,Lyon,,Boulevard Haussmann,Haussmann,Boulevard,69002,France,
"53 Boulevard Saint-Michel, 06000 Nice, France",53,Nice,,Boulevard Saint-Michel,Saint-Michel,Boulevard,06000,France,
"Pierre Lefevre, 1 Boulevard Saint-Michel, 31000 Toulouse, France",1,Toulouse,Pierre Lefevre,Boulevard Saint-Michel,Saint-Michel,Boulevard,31000,France,
"Sophie Martin, 219 Boulevard Saint-Michel, 69002 Lyon, France",219,Lyon,Sophie Martin,Boulevard Saint-Michel,Saint-Michel,Boulevard,69002,France,
"Tech Innov, 214 Place de la République, 44000 Nantes, France",214,Nantes,Tech Innov,Place de la République,de la République,Place,44000,France,
"Boulangerie Paul, 221 Boulevard Haussmann, 67000 Strasbourg, France",221,Strasbourg,Boulangerie Paul,Boulevard Haussmann,Haussmann,Boulevard,67000,France,
"37 Place de la République, 44000 Nantes, France",37,Nantes,,Place de la République,de la République,Place,44000,France,
"Jean Dupont, 149 Rue de la Paix, 69002 Lyon, France",149,Lyon,Jean Dupont,Rue de la Paix,de la Paix,Rue,69002,France,
"221 Rue Saint-Honoré, 33000 Bordeaux, France",221,Bordeaux,,Rue Saint-Honoré,Saint-Honoré,Rue,33000,France,
"Pierre Lefevre, 36 Avenue Montaigne, 69002 Lyon, France",36,Lyon,Pierre Lefevre,Avenue Montaigne,Montaigne,Avenue,69002,France,
"Sophie Martin, 157 Rue du Faubourg Saint-Antoine, 35000 Rennes, France",157,Rennes,Sophie Martin,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,35000,France,
"113 Place de la République, 69002 Lyon, France",113,Lyon,,Place de la République,de la République,Place,69002,France,
"244 Rue Saint-Honoré, 13006 Marseille, France",244,Marseille,,Rue Saint-Honoré,Saint-Honoré,Rue,13006,France,
"53 Boulevard Saint-Michel, 13006 Marseille, France",53,Marseille,,Boulevard Saint-Michel,Saint-Michel,Boulevard,13006,France,
"Nathalie Dubois, 29 Place de la République, 31000 Toulouse, France",29,Toulouse,Nathalie Dubois,Place de la République,de la République,Place,31000,France,
"Garage Renault, 124 Place de la République, 06000 Nice, France",124,Nice,Garage Renault,Place de la République,de la République,Place,06000,France,
"Laurent Bernard, 213 Boulevard Saint-Michel, 44000 Nantes, France",213,Nantes,Laurent Bernard,Boulevard Saint-Michel,Saint-Michel,Boulevard,44000,France,
"Tech Innov, 212 Avenue Victor Hugo, 69002 Lyon, France",212,Lyon,Tech Innov,Avenue Victor Hugo,Victor Hugo,Avenue,69002,France,
"14 Avenue Victor Hugo, 31000 Toulouse, France",14,Toulouse,,Avenue Victor Hugo,Victor Hugo,Avenue,31000,France,
"196 Rue du Faubourg Saint-Antoine, 69002 Lyon, France",196,Lyon,,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,69002,France,
"Jean Dupont, 164 Place de la République, 31000 Toulouse, France",164,Toulouse,Jean Dupont,Place de la République,de la République,Place,31000,France,
"79 Place de la République, 35000 Rennes, France",79,Rennes,,Place de la République,de la République,Place,35000,France,
"Sophie Martin, 184 Avenue Victor Hugo, 06000 Nice, France",184,Nice,Sophie Martin,Avenue Victor Hugo,Victor Hugo,Avenue,06000,France,
"215 Avenue Montaigne, 06000 Nice, France",215,Nice,,Avenue Montaigne,Montaigne,Avenue,06000,France,
"56 Rue de Rivoli, 13006 Marseille, France",56,Marseille,,Rue de Rivoli,de Rivoli,Rue,13006,France,
"Sophie Martin, 185 Boulevard Haussmann, 69002 Lyon, France",185,Lyon,Sophie Martin,Boulevard Haussmann,Haussmann,Boulevard,69002,France,
"Sophie Martin, 56 Avenue Montaigne, 59000 Lille, France",56,Lille,Sophie Martin,Avenue Montaigne,Montaigne,Avenue,59000,France,
"49 Avenue des Champs-Élysées, 75001 Paris, France",49,Paris,,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,75001,France,
"Nathalie Dubois, 225 Avenue Victor Hugo, 75001 Paris, France",225,Paris,Nathalie Dubois,Avenue Victor Hugo,Victor Hugo,Avenue,75001,France,
"Nathalie Dubois, 12 Rue de la Paix, 35000 Rennes, France",12,Rennes,Nathalie Dubois,Rue de la Paix,de la Paix,Rue,35000,France,
"Boulangerie Paul, 39 Boulevard Saint-Michel, 13006 Marseille, France",39,Marseille,Boulangerie Paul,Boulevard Saint-Michel,Saint-Michel,Boulevard,13006,France,
"Boulangerie Paul, 43 Rue de la Paix, 75001 Paris, France",43,Paris,Boulangerie Paul,Rue de la Paix,de la Paix,Rue,75001,France,
"Tech Innov, 87 Avenue Victor Hugo, 69002 Lyon, France",87,Lyon,Tech Innov,Avenue Victor Hugo,Victor Hugo,Avenue,69002,France,
"Garage Renault, 218 Rue Saint-Honoré, 33000 Bordeaux, France",218,Bordeaux,Garage Renault,Rue Saint-Honoré,Saint-Honoré,Rue,33000,France,
"Nathalie Dubois, 102 Rue de Rivoli, 35000 Rennes, France",102,Rennes,Nathalie Dubois,Rue de Rivoli,de Rivoli,Rue,35000,France,
"Pierre Lefevre, 38 Place de la République, 31000 Toulouse, France",38,Toulouse,Pierre Lefevre,Place de la République,de la République,Place,31000,France,
"187 Rue du Faubourg Saint-Antoine, 35000 Rennes, France",187,Rennes,,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,35000,France,
"Supermarché Carrefour, 202 Boulevard Saint-Michel, 06000 Nice, France",202,Nice,Supermarché Carrefour,Boulevard Saint-Michel,Saint-Michel,Boulevard,06000,France,
"Garage Renault, 97 Avenue Victor Hugo, 59000 Lille, France",97,Lille,Garage Renault,Avenue Victor Hugo,Victor Hugo,Avenue,59000,France,
"38 Rue Saint-Honoré, 59000 Lille, France",38,Lille,,Rue Saint-Honoré,Saint-Honoré,Rue,59000,France,
"39 Avenue Victor Hugo, 13006 Marseille, France",39,Marseille,,Avenue Victor Hugo,Victor Hugo,Avenue,13006,France,
"199 Avenue Montaigne, 06000 Nice, France",199,Nice,,Avenue Montaigne,Montaigne,Avenue,06000,France,
"232 Rue de la Paix, 13006 Marseille, France",232,Marseille,,Rue de la Paix,de la Paix,Rue,13006,France,
"114 Boulevard Haussmann, 75001 Paris, France",114,Paris,,Boulevard Haussmann,Haussmann,Boulevard,75001,France,
"237 Avenue Montaigne, 13006 Marseille, France",237,Marseille,,Avenue Montaigne,Montaigne,Avenue,13006,France,
"Garage Renault, 205 Avenue Montaigne, 31000 Toulouse, France",205,Toulouse,Garage Renault,Avenue Montaigne,Montaigne,Avenue,31000,France,
"152 Boulevard Saint-Michel, 75001 Paris, France",152,Paris,,Boulevard Saint-Michel,Saint-Michel,Boulevard,75001,France,
"118 Avenue des Champs-Élysées, 59000 Lille, France",118,Lille,,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,59000,France,
"94 Place de la République, 13006 Marseille, France",94,Marseille,,Place de la République,de la République,Place,13006,France,
"Jean Dupont, 227 Rue du Faubourg Saint-Antoine, 67000 Strasbourg, France",227,Strasbourg,Jean Dupont,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,67000,France,
"Jean Dupont, 244 Avenue Montaigne, 69002 Lyon, France",244,Lyon,Jean Dupont,Avenue Montaigne,Montaigne,Avenue,69002,France,
"53 Boulevard Saint-Michel, 59000 Lille, France",53,Lille,,Boulevard Saint-Michel,Saint-Michel,Boulevard,59000,France,
"Supermarché Carrefour, 165 Rue de Rivoli, 35000 Rennes, France",165,Rennes,Supermarché Carrefour,Rue de Rivoli,de Rivoli,Rue,35000,France,
"131 Rue de Rivoli, 75001 Paris, France",131,Paris,,Rue de Rivoli,de Rivoli,Rue,75001,France,
"Garage Renault, 230 Avenue Montaigne, 31000 Toulouse, France",230,Toulouse,Garage Renault,Avenue Montaigne,Montaigne,Avenue,31000,France,
"158 Boulevard Saint-Michel, 35000 Rennes, France",158,Rennes,,Boulevard Saint-Michel,Saint-Michel,Boulevard,35000,France,
"Laurent Bernard, 84 Rue du Faubourg Saint-Antoine, 35000 Rennes, France",84,Rennes,Laurent Bernard,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,35000,France,
"Jean Dupont, 193 Rue Saint-Honoré, 35000 Rennes, France",193,Rennes,Jean Dupont,Rue Saint-Honoré,Saint-Honoré,Rue,35000,France,
"Laurent Bernard, 164 Avenue Victor Hugo, 44000 Nantes, France",164,Nantes,Laurent Bernard,Avenue Victor Hugo,Victor Hugo,Avenue,44000,France,
"Pharmacie Centrale, 40 Boulevard Haussmann, 31000 Toulouse, France",40,Toulouse,Pharmacie Centrale,Boulevard Haussmann,Haussmann,Boulevard,31000,France,
"Pierre Lefevre, 230 Place de la République, 69002 Lyon, France",230,Lyon,Pierre Lefevre,Place de la République,de la République,Place,69002,France,
"210 Boulevard Saint-Michel, 35000 Rennes, France",210,Rennes,,Boulevard Saint-Michel,Saint-Michel,Boulevard,35000,France,
"Boulangerie Paul, 26 Rue de Rivoli, 13006 Marseille, France",26,Marseille,Boulangerie Paul,Rue de Rivoli,de Rivoli,Rue,13006,France,
"Laurent Bernard, 39 Rue de Rivoli, 35000 Rennes, France",39,Rennes,Laurent Bernard,Rue de Rivoli,de Rivoli,Rue,35000,France,
"Jean Dupont, 99 Rue Saint-Honoré, 06000 Nice, France",99,Nice,Jean Dupont,Rue Saint-Honoré,Saint-Honoré,Rue,06000,France,
"175 Boulevard Haussmann, 44000 Nantes, France",175,Nantes,,Boulevard Haussmann,Haussmann,Boulevard,44000,France,
"227 Place de la République, 44000 Nantes, France",227,Nantes,,Place de la République,de la République,Place,44000,France,
"68 Rue Saint-Honoré, 44000 Nantes, France",68,Nantes,,Rue Saint-Honoré,Saint-Honoré,Rue,44000,France,
"Pharmacie Centrale, 11 Boulevard Saint-Michel, 59000 Lille, France",11,Lille,Pharmacie Centrale,Boulevard Saint-Michel,Saint-Michel,Boulevard,59000,France,
"Laurent Bernard, 17 Place de la République, 06000 Nice, France",17,Nice,Laurent Bernard,Place de la République,de la République,Place,06000,France,
"Supermarché Carrefour, 88 Rue du Faubourg Saint-Antoine, 35000 Rennes, France",88,Rennes,Supermarché Carrefour,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,35000,France,
"Tech Innov, 108 Place de la République, 59000 Lille, France",108,Lille,Tech Innov,Place de la République,de la République,Place,59000,France,
"Nathalie Dubois, 177 Boulevard Haussmann, 35000 Rennes, France",177,Rennes,Nathalie Dubois,Boulevard Haussmann,Haussmann,Boulevard,35000,France,
"Boulangerie Paul, 10 Boulevard Haussmann, 44000 Nantes, France",10,Nantes,Boulangerie Paul,Boulevard Haussmann,Haussmann,Boulevard,44000,France,
"194 Rue de Rivoli, 69002 Lyon, France",194,Lyon,,Rue de Rivoli,de Rivoli,Rue,69002,France,
"Jean Dupont, 15 Avenue Victor Hugo, 35000 Rennes, France",15,Rennes,Jean Dupont,Avenue Victor Hugo,Victor Hugo,Avenue,35000,France,
"144 Avenue Victor Hugo, 06000 Nice, France",144,Nice,,Avenue Victor Hugo,Victor Hugo,Avenue,06000,France,
"155 Rue du Faubourg Saint-Antoine, 35000 Rennes, France",155,Rennes,,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,35000,France,
"125 Rue de la Paix, 13006 Marseille, France",125,Marseille,,Rue de la Paix,de la Paix,Rue,13006,France,
"Boulangerie Paul, 42 Rue de la Paix, 69002 Lyon, France",42,Lyon,Boulangerie Paul,Rue de la Paix,de la Paix,Rue,69002,France,
"Supermarché Carrefour, 82 Rue de Rivoli, 13006 Marseille, France",82,Marseille,Supermarché Carrefour,Rue de Rivoli,de Rivoli,Rue,13006,France,
"Pierre Lefevre, 78 Rue de Rivoli, 59000 Lille, France",78,Lille,Pierre Lefevre,Rue de Rivoli,de Rivoli,Rue,59000,France,
"Garage Renault, 185 Rue Saint-Honoré, 59000 Lille, France",185,Lille,Garage Renault,Rue Saint-Honoré,Saint-Honoré,Rue,59000,France,
"169 Boulevard Saint-Michel, 67000 Strasbourg, France",169,Strasbourg,,Boulevard Saint-Michel,Saint-Michel,Boulevard,67000,France,
"Tech Innov, 44 Rue du Faubourg Saint-Antoine, 13006 Marseille, France",44,Marseille,Tech Innov,Rue du Faubourg Saint-Antoine,du Faubourg Saint-Antoine,Rue,13006,France,
"Pharmacie Centrale, 239 Boulevard Haussmann, 33000 Bordeaux, France",239,Bordeaux,Pharmacie Centrale,Boulevard Haussmann,Haussmann,Boulevard,33000,France,
"Pierre Lefevre, 79 Place de la République, 35000 Rennes, France",79,Rennes,Pierre Lefevre,Place de la République,de la République,Place,35000,France,
"22 Boulevard Saint-Michel, 33000 Bordeaux, France",22,Bordeaux,,Boulevard Saint-Michel,Saint-Michel,Boulevard,33000,France,
"Garage Renault, 47 Avenue Montaigne, 44000 Nantes, France",47,Nantes,Garage Renault,Avenue Montaigne,Montaigne,Avenue,44000,France,
"163 Rue Saint-Honoré, 13006 Marseille, France",163,Marseille,,Rue Saint-Honoré,Saint-Honoré,Rue,13006,France,
"67 Place de la République, 06000 Nice, France",67,Nice,,Place de la République,de la République,Place,06000,France,
"Laurent Bernard, 98 Avenue Victor Hugo, 13006 Marseille, France",98,Marseille,Laurent Bernard,Avenue Victor Hugo,Victor Hugo,Avenue,13006,France,
"170 Rue de Rivoli, 44000 Nantes, France",170,Nantes,,Rue de Rivoli,de Rivoli,Rue,44000,France,
"Garage Renault, 69 Rue de Rivoli, 06000 Nice, France",69,Nice,Garage Renault,Rue de Rivoli,de Rivoli,Rue,06000,France,
"232 Place de la République, 06000 Nice, France",232,Nice,,Place de la République,de la République,Place,06000,France,
"Jean Dupont, 132 Boulevard Saint-Michel, 06000 Nice, France",132,Nice,Jean Dupont,Boulevard Saint-Michel,Saint-Michel,Boulevard,06000,France,
"217 Place de la République, 35000 Rennes, France",217,Rennes,,Place de la République,de la République,Place,35000,France,
"174 Rue de Rivoli, 33000 Bordeaux, France",174,Bordeaux,,Rue de Rivoli,de Rivoli,Rue,33000,France,
"Jean Dupont, 18 Rue de Rivoli, 67000 Strasbourg, France",18,Strasbourg,Jean Dupont,Rue de Rivoli,de Rivoli,Rue,67000,France,
"128 Boulevard Saint-Michel, 75001 Paris, France",128,Paris,,Boulevard Saint-Michel,Saint-Michel,Boulevard,75001,France,
"Sophie Martin, 146 Rue de la Paix, 33000 Bordeaux, France",146,Bordeaux,Sophie Martin,Rue de la Paix,de la Paix,Rue,33000,France,
"56 Rue de la Paix, 67000 Strasbourg, France",56,Strasbourg,,Rue de la Paix,de la Paix,Rue,67000,France,
"Supermarché Carrefour, 103 Boulevard Haussmann, 59000 Lille, France",103,Lille,Supermarché Carrefour,Boulevard Haussmann,Haussmann,Boulevard,59000,France,
"Tech Innov, 227 Rue de la Paix, 35000 Rennes, France",227,Rennes,Tech Innov,Rue de la Paix,de la Paix,Rue,35000,France,
"Pierre Lefevre, 78 Rue de Rivoli, 35000 Rennes, France",78,Rennes,Pierre Lefevre,Rue de Rivoli,de Rivoli,Rue,35000,France,
"Nathalie Dubois, 190 Avenue des Champs-Élysées, 59000 Lille, France",190,Lille,Nathalie Dubois,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,59000,France,
"Sophie Martin, 167 Avenue des Champs-Élysées, 75001 Paris, France",167,Paris,Sophie Martin,Avenue des Champs-Élysées,des Champs-Élysées,Avenue,75001,France,
